Make,Model,Price,Make_Year,CC,Assembly,Mileage,Registered City,Transmission
44,109,1750000,2017,660,0,0.04199908399816799,97,1
25,87,2275000,2017,1800,1,0.05499910999821999,66,1
61,259,2750000,2013,1800,0,0.08499916999834,97,1
59,105,1150000,2015,1000,1,0.07234914469828939,97,0
25,87,2785000,2015,1800,1,0.0749991499983,80,1
25,86,2800000,2019,1300,1,0.018999037998075993,97,1
25,87,2190000,2014,1800,1,0.13999927999856,97,0
25,87,1835000,2009,1800,1,0.13499926999853998,97,1
61,255,13500000,2012,2700,0,0.07399914799829599,66,1
38,383,6500000,2021,4000,0,0.0,180,1
61,96,242000,2015,1300,1,0.08499916999834,66,0
61,283,2150000,2006,1500,0,0.17999935999871997,66,1
25,45,3585000,2020,1500,1,0.009599019198038395,66,1
35,316,5250000,2020,2000,1,0.023499046998093992,66,1
61,362,1190000,2001,1000,0,0.15999931999863998,80,1
61,96,1290000,2004,1600,1,0.16799933599867198,66,0
25,87,1150000,2006,1300,0,0.0999991999984,80,1
35,247,2150000,2020,1000,1,0.02799905599811199,180,1
25,87,1100000,2009,1800,1,0.1581823163646327,80,0
61,96,2350000,2014,1600,1,0.07399914799829599,80,1
1,385,1725000,2021,5000,0,0.0012990025980051958,180,1
44,20,1480000,2007,1300,0,0.0011990023980047958,66,1
43,240,915000,2007,660,0,0.06999913999828,97,1
25,86,2390000,2016,1300,1,0.06756213512427024,66,1
14,162,1200000,2015,660,0,0.05799911599823199,97,1
25,150,4050000,2017,1500,0,0.04199908399816799,180,1
61,362,2630000,2017,1000,0,0.05199910399820799,180,1
61,96,3400000,2017,1600,1,0.005599011198022396,80,1
61,362,2600000,2017,1000,0,0.04699909399818799,180,1
61,362,1800000,2013,1000,0,0.14099928199856399,97,1
59,126,1650000,2016,660,0,0.07299914599829199,180,1
14,221,2190000,2018,660,0,0.032999065998131995,180,1
61,303,1725000,2017,1500,0,0.100999201998404,180,1
44,232,1725000,2018,1200,0,0.057816115632231255,180,1
61,255,1725000,2011,4000,0,0.08199916399832799,66,1
61,362,2075000,2015,1000,0,0.05799911599823199,97,1
61,32,2750000,2016,1500,0,0.09499918999837999,97,1
61,255,1725000,2018,2700,0,0.011999023998047996,180,1
61,163,3000000,2006,3000,1,0.08499916999834,1,0
